Symbol,Name,Price,Change,Market Cap,PE Ratio
V,Visa Inc.,230.76,-0.25,483304000000.0,30.81
JPM,JPMorgan Chase & Co.,133.89,-2.16,392325000000.0,9.9
MA,Mastercard Incorporated,380.21,-3.18,359338000000.0,37.85
JPM-PD,JPMorgan Chase & Co.,24.57,-0.08,326427000000.0,1.82
JPM-PC,JPMorgan Chase & Co.,25.02,-0.09,328207000000.0,1.86
BAC-PK,Bank of America Corporation,24.38,-0.04,244596000000.0,6.94
BAC-PL,Bank of America Corporation,1144.76,0.79,0.0,325.77
BML-PG,Bank of America Corporation,20.02,-0.03,270350000000.00003,5.7
BML-PH,Bank of America Corporation,19.9,0.05,269812000000.0,5.66
BAC,Bank of America Corporation,27.06,-0.33,215526000000.0,8.1
BML-PL,Bank of America Corporation,20.2,0.05,248946000000.0,5.75
BAC-PE,Bank of America Corporation,20.15,0.12,239340000000.0,5.73
BML-PJ,Bank of America Corporation,20.76,-0.01,240083000000.0,5.91
BAC-PB,Bank of America Corporation,24.53,-0.04,245183000000.0,6.98
WFC-PQ,Wells Fargo & Company,25.01,1.45,201039000000.0,5.18
WFC-PR,Wells Fargo & Company,25.24,0.51,186022000000.0,5.22
WFC-PY,Wells Fargo & Company,22.36,0.01,182577000000.0,4.63
WFC-PL,Wells Fargo & Company,1139.77,1.77,178136000000.0,235.88
C-PJ,Citigroup Inc.,25.29,0.09,143582000000.0,2.97
HSBC,HSBC Holdings plc,37.47,0.02,151092000000.0,6.79
MS,Morgan Stanley,82.28,-0.35,139170000000.0,14.3
WFC,Wells Fargo & Company,37.35,-0.97,141079000000.0,10.86
RY,Royal Bank of Canada,95.68,-0.54,133217000000.00002,12.2
HDB,HDFC Bank Limited,67.78,0.65,126149000000.0,26.17
V,Visa Inc.,230.82,-0.18,483440000000.0,30.82
JPM,JPMorgan Chase & Co.,133.91,-2.14,392560000000.0,9.9
MA,Mastercard Incorporated,380.21,-3.18,359499000000.0,37.87
JPM-PC,JPMorgan Chase & Co.,25.01,-0.1,328076000000.0,1.86
BAC,Bank of America Corporation,27.06,-0.33,215605000000.0,8.1
WFC-PY,Wells Fargo & Company,22.39,0.04,182822000000.0,4.63
MS,Morgan Stanley,82.3,-0.33,139221000000.0,14.31
WFC,Wells Fargo & Company,37.37,-0.97,141116000000.0,10.86
WFC-PC,Wells Fargo & Company,17.25,0.09,123026000000.0,3.57
JPM,JPMorgan Chase & Co.,133.9,-2.15,392530000000.0,9.9
BAC,Bank of America Corporation,27.06,-0.33,215644000000.0,8.1
MS,Morgan Stanley,82.28,-0.35,139229000000.0,14.31
WFC,Wells Fargo & Company,37.35,-0.98,141154000000.0,10.86
